nama_produk,badges,count_rating,disc_percent,harga,rating,rating_avg,nama_toko,lokasi,official,powerbadge,terjual
Box Hampers lebaran/ Box lebaran gambar masjid gold,Power Merchant Pro Badge,0,0,14000,0,,kotakuofficial,Malang,False,True,0
BELLAROSA PAKET BERKAH / KUE KERING / HAMPERS PARCEL KUE LEBARAN ENAK,Power Merchant Pro Badge,0,0,46749,0,,paffie shop,Surabaya,False,True,0
Tas Anyaman Polos Tas Wiralurik Tas Hampers Polos Tas Hantaran Lebaran,Power Merchant Pro Badge,6,0,23000,5,5.0,minifrozen,Bodetabek,False,True,90
KETUPAT LEBARAN | Hiasan Parcel Hampers Lebaran Idul Fitri,Power Merchant Pro Badge,4,0,2500,5,5.0,Star-Link21,Palembang,False,True,80
bst ZM01. Gift Set Hijab Dompet ZM Parcel Hampers Lebaran Hadiah Kado,Power Badge,0,0,82000,0,,srimartin,Bodetabek,False,True,0
EN LIGNE - Paket Jam Tangan Set - Hampers Lebaran Untuk Pria _ Kado,Power Badge,0,0,274000,0,,AISTHA07,lainnya,False,True,0
PAKET KUE KERING TOP MATAHARI RED PARCEL KUE LEBARAN PAKET KUE LEBARAN,Power Merchant Pro Badge,0,0,148000,0,,septishoppe5,Surabaya,False,True,0
Parsel Ramadan | Dekayu Hampers Ramen with Rena | Kado Ultah Gift Box,Power Merchant Pro Badge,8,0,175000,5,5.0,Dekayu,Yogyakarta,False,True,21
Hampers Imlek/Natal/Lebaran Premium,Power Merchant Pro Badge,314,0,165000,5,5.0,dedekapatisserie,Bodetabek,False,True,1000
GANTUNGAN HANG TAG CAMEL UNTA PARCEL HAMPERS LEBARAN EID IDULFITRI,Power Badge,2,0,3100,5,5.0,EZ EAZYMART,Jakarta,False,True,100
Paket Dhahran Lebaran Hampers / Parcel Idul Fitri / Parsel Timonceli,Power Merchant Pro Badge,0,0,315000,0,,Mug Serpong,Bodetabek,False,True,0
Gift Tag Kayu Hampers Idul Fitri Hang Tag Gantungan Parsel Ramadan,Power Merchant Pro Badge,9,0,4500,5,5.0,Central Media Jakarta,Jakarta,False,True,100
L Agie / Parcel Coklat Lagie Delfi / Paket Coklat Lebaran Lagie Hemat,No Badges,0,0,202000,0,,Taurusshop-1,Surabaya,False,False,0
Hampers Lebaran Premium Kue Kering Isi 6 Toples,Power Merchant Pro Badge,1,0,180000,5,5.0,Shantia Store,Jakarta,False,True,9
Mubarak Idul Fitri Hampers Hampers Lebaran / Parsel Ramadhan / Vegan &,Official Store,8,5,387600,5,5.0,Casa Grata,Jakarta,True,True,26
24x24x7 Hampers Lebaran/Box Lebaran/Box Kue Kering/Dus Idul Fitri,Power Merchant Pro Badge,1,0,80000,5,5.0,Satrio Agung Printing,Surabaya,False,True,25
Custom Hampers Lebaran,Power Badge,1,0,79000,5,5.0,Hampers 90s,Jakarta,False,True,1
hampers lebaran unik,Power Merchant Pro Badge,0,0,300000,0,,Hazel Official Shop,Surabaya,False,True,0
BELLAROSA PAKET HAICOKLAT HAMPERS PARCEL KUE KERING LEBARAN IDUL FITRI,Power Merchant Pro Badge,0,0,43499,0,,paffie shop,Surabaya,False,True,0
Hampers Lebaran Parcel Ramadan Paket Kopi Coffe Kah-wa Premium Taste,Power Merchant Pro Badge,2,0,149000,5,5.0,Ayung Sportindo Malang,Malang,False,True,3
Paket Parcel Hampers Spesial Lebaran / Ramadhan Kue Kering / Box Kotak,Power Merchant Pro Badge,18,0,100,5,5.0,DRSukses,Jakarta,False,True,40
Hampers Ramadhan 2,Power Merchant Pro Badge,9,0,104000,5,5.0,Lovessemprong_jakbar,Jakarta,False,True,16
box hampers lebaran|hantaran,Power Merchant Pro Badge,2,0,15000,5,5.0,Mlenus,Jakarta,False,True,2
Tas Parcel Lebaran Idul Fitri,Power Merchant Pro Badge,2,6,3399,5,4.5,Bening Jaya,Kab. Sidoarjo,False,True,100
Hampers Lebaran Single Handle,Power Merchant Pro Badge,2,0,100000,5,5.0,La Gramma Homemade,lainnya,False,True,14
Hampers Lebaran Merrisa (Canvas),Official Store,0,0,200000,0,,Phillipe Jourdan Official Store,Jakarta,True,True,0
Hampers Parcel Kue Kering Lebaran JNC J &C Cookies Toples Reguler,Power Merchant Pro Badge,12,0,288950,5,5.0,Adriana Shop,Jakarta,False,True,30
BOX HAMPERS LEBARAN 26x14x5 cm / DUS KUE KERING IDUL FITRI,Power Merchant Pro Badge,0,0,13990,0,,Felice Cake Box,Jakarta,False,True,0
tas mika polos ready / tas unik / tas parcel lebaran/ tas souvenir,Power Merchant Pro Badge,0,0,5000,0,,Dyaz Tas Souvenir,Kab. Kudus,False,True,0
Terlaris Hampers Mukena Anak Parsel Ramadan Parcel Alat Ibadah Toko,Power Badge,0,0,358000,0,,Cakra Onshoping,Surabaya,False,True,0
Hampers / Parcel / Parsel Lebaran Brownie Package 5in1 *Pake Topping*,No Badges,53,0,90000,5,4.9,Meandmombakery,lainnya,False,False,100
Cookies Kue Kering Hampers Parcel Lebaran Idul Fitri Natal Xmas Imlek,Power Merchant Pro Badge,0,0,60000,0,,Kitchen kos,Surabaya,False,True,0
Berkah Idul Fitri Hampers by Casa Grata Hampers Lebaran / Parcel,Official Store,8,5,273600,5,5.0,Casa Grata,Jakarta,True,True,30
PADIMAS Cream Cake Aneka Rasa / Kue Lebaran / Hampers Lebaran,Power Merchant Pro Badge,0,0,4500,0,,debaypasmo,Surabaya,False,True,2
custom box untuk hampers lebaran idul fitri dan packaging size,No Badges,0,0,11000,0,,Arlida Store PT,Surabaya,False,False,0
hampers hijab/hampers lebaran/hampers ultah/hampers wisuda dll,Power Merchant Pro Badge,1,0,41000,5,5.0,smgift,Bodetabek,False,True,1
dus toples jar 500ml 600ml isi 3 lebaran box hampers parcel idul fitri,Power Badge,0,0,6000,0,,BlackRED box,Jakarta,False,True,0
10pcs Box Idul Fitri Box Toples 500gr 350gr Box Hampers Idul Fitri Dus,Power Merchant Pro Badge,1,0,80500,5,5.0,Gemilang Kardus Sejahtera,Jakarta,False,True,10
Box Parcel Lebaran XL uk 40x40x31,Power Merchant Pro Badge,2,0,11250,5,5.0,BATAVIA BOX JAKARTA,Jakarta,False,True,90
RAYYA Hampers Lebaran/ Hampers Ramadhan/ Idul Fitri,Power Badge,6,5,83600,5,5.0,Organic & Joy,Surabaya,False,True,60
Paket parcel lebaran M keranjang rotan,Power Merchant Pro Badge,3,0,210000,5,5.0,Dira Book Shop,Surabaya,False,True,3
SULLA HOME | Parsel Lebaran | Homeland Bobo Gift Set,Power Merchant Pro Badge,1,0,795000,5,5.0,Sulla Home,Bodetabek,False,True,1
Hampers Ramadan Sabun | Hampers Lebaran Premium | Hampers Idul Fitri,Power Merchant Pro Badge,8,0,325000,5,5.0,HITTHAT,Jakarta,False,True,30
